"id","symbol","datetime","current_price","open_price","close_price","high_price","low_price","percent_change","volume"
11,JPM,2023-12-28 11:45:00.000 +0100,170.14,169.92,170.14,170.17,169.89999,0.1294726930320144,217444.0
12,JPM,2023-12-28 11:30:00.000 +0100,169.9489,169.75999,169.9489,169.98,169.71381,0.11128063803492284,147463.0
13,JPM,2023-12-28 11:15:00.000 +0100,169.74001,169.72,169.74001,169.82001,169.69501,0.011790007070476907,118401.0
14,JPM,2023-12-28 11:00:00.000 +0100,169.715,169.73,169.715,169.825,169.62,-0.008837565545269757,165093.0
15,JPM,2023-12-28 10:45:00.000 +0100,169.72009,169.52,169.72009,169.905,169.46001,0.11803327041056438,171623.0
16,JPM,2023-12-28 10:30:00.000 +0100,169.5,169.35001,169.5,169.84,169.0,0.08856804909548131,328822.0
17,JPM,2023-12-27 16:45:00.000 +0100,169.45,169.05,169.45,169.47,168.94,0.2366163856846952,620339.0
18,JPM,2023-12-27 16:30:00.000 +0100,169.05,169.095,169.05,169.27,169.03,-0.026612259380814032,157776.0
19,JPM,2023-12-27 16:15:00.000 +0100,169.09,169.05,169.09,169.19,168.98,0.02366163856846616,124664.0
20,JPM,2023-12-27 16:00:00.000 +0100,169.06,169.07001,169.06,169.16,168.9866,-0.005920624243172447,111049.0
21,JPM,2023-12-27 15:45:00.000 +0100,169.07001,168.9115,169.07001,169.075,168.88,0.09384204154246858,97138.0
22,JPM,2023-12-27 15:30:00.000 +0100,168.91499,169.11,168.91499,169.1114,168.89,-0.11531547513454246,116617.0
23,JPM,2023-12-27 15:15:00.000 +0100,169.11,168.98,169.11,169.175,168.92999,0.07693218132324765,187502.0
24,JPM,2023-12-27 15:00:00.000 +0100,168.98,169.0,168.98,169.00999,168.78999,-0.011834319526633273,190309.0
25,JPM,2023-12-27 14:45:00.000 +0100,169.002,169.13,169.002,169.17999,169.002,-0.07568142848695436,101985.0
26,JPM,2023-12-27 14:30:00.000 +0100,169.13,169.03999,169.13,169.14,169.0,0.053247755161371334,94122.0
27,JPM,2023-12-27 14:15:00.000 +0100,169.03999,169.14,169.03999,169.19,169.0,-0.05912853257656231,120555.0
28,JPM,2023-12-27 14:00:00.000 +0100,169.11,168.94,169.11,169.31,168.94,0.10062744169528584,187693.0
29,JPM,2023-12-27 13:45:00.000 +0100,168.9384,168.96001,168.9384,168.99001,168.85001,-0.012790008712718279,94395.0
30,JPM,2023-12-27 13:30:00.000 +0100,168.94501,168.85001,168.94501,169.05,168.84,0.05626295195362965,166473.0
31,JPM,2023-12-27 13:15:00.000 +0100,168.84,168.8,168.84,168.92,168.785,0.02369668246445026,95554.0
32,JPM,2023-12-27 13:00:00.000 +0100,168.81,168.69,168.81,168.84,168.63,0.07113640405477772,91835.0
33,JPM,2023-12-27 12:45:00.000 +0100,168.71001,168.72,168.71001,168.825,168.69,-0.005921052631571676,76530.0
34,JPM,2023-12-27 12:30:00.000 +0100,168.7,168.72,168.7,168.755,168.63499,-0.01185395922238634,101619.0
35,JPM,2023-12-27 12:15:00.000 +0100,168.72,168.71001,168.72,168.7951,168.66,0.005921403240974101,123459.0
36,JPM,2023-12-27 12:00:00.000 +0100,168.7,168.67,168.7,168.77879,168.59,0.017786209758701096,102504.0
37,JPM,2023-12-27 11:45:00.000 +0100,168.67999,168.62,168.67999,168.74001,168.48,0.03557703712489568,144129.0
38,JPM,2023-12-27 11:30:00.000 +0100,168.62,168.64999,168.62,168.815,168.52,-0.017782390618581098,131039.0
39,JPM,2023-12-27 11:15:00.000 +0100,168.66,168.59,168.66,168.67101,168.52,0.041520849397943635,156849.0
40,JPM,2023-12-27 11:00:00.000 +0100,168.57001,168.42999,168.57001,168.59,168.42999,0.08313246352386099,169059.0
41,JPM,2023-12-27 10:45:00.000 +0100,168.41,168.7,168.41,168.72,168.395,-0.1719027860106651,167894.0
42,JPM,2023-12-27 10:30:00.000 +0100,168.73,167.84,168.73,168.745,167.58,0.5302669208770175,303097.0
43,JPM,2023-12-26 16:45:00.000 +0100,168.42,168.5,168.42,168.509,168.22,-0.04747774480712909,442032.0
44,JPM,2023-12-26 16:30:00.000 +0100,168.50999,168.60001,168.50999,168.71899,168.46001,-0.053392642147535904,213482.0
45,JPM,2023-12-26 16:15:00.000 +0100,168.59,168.49001,168.59,168.74001,168.4601,0.05934476471334481,160343.0
46,JPM,2023-12-26 16:00:00.000 +0100,168.49249,168.53999,168.49249,168.59,168.435,-0.028183222272639998,112593.0
47,JPM,2023-12-26 15:45:00.000 +0100,168.5399,168.485,168.5399,168.6218,168.485,0.03258450307147525,85382.0
48,JPM,2023-12-26 15:30:00.000 +0100,168.485,168.705,168.485,168.73,168.47,-0.1304051450757232,178133.0
49,JPM,2023-12-26 15:15:00.000 +0100,168.71001,168.66,168.71001,168.71001,168.63,0.029651369619361163,88442.0
50,JPM,2023-12-26 15:00:00.000 +0100,168.66,168.625,168.66,168.765,168.61,0.020756115641213692,111823.0
51,JPM,2023-12-26 14:45:00.000 +0100,168.62151,168.7,168.62151,168.74001,168.60001,-0.04652637818612209,79263.0
52,JPM,2023-12-26 14:30:00.000 +0100,168.69,168.605,168.69,168.71001,168.59,0.05041368879926928,112836.0
53,JPM,2023-12-26 14:15:00.000 +0100,168.60609,168.7,168.60609,168.75,168.60001,-0.05566686425607229,71762.0
54,JPM,2023-12-26 14:00:00.000 +0100,168.7,168.53,168.7,168.74001,168.52,0.10087224826439654,77334.0
55,JPM,2023-12-26 13:45:00.000 +0100,168.52,168.53999,168.52,168.66,168.504,-0.011860686594308353,78541.0
56,JPM,2023-12-26 13:30:00.000 +0100,168.54601,168.62,168.54601,168.66,168.52,-0.043879729569451485,76801.0
57,JPM,2023-12-26 13:15:00.000 +0100,168.62,168.58,168.62,168.67,168.55,0.023727607070822186,74323.0
58,JPM,2023-12-26 13:00:00.000 +0100,168.59,168.57001,168.59,168.64999,168.50999,0.011858574369193582,62466.0
59,JPM,2023-12-26 12:45:00.000 +0100,168.55,168.53571,168.55,168.60001,168.42999,0.008478915239990854,87841.0
60,JPM,2023-12-26 12:30:00.000 +0100,168.52,168.4673,168.52,168.57001,168.46249,0.031282035148670236,74870.0
61,JPM,2023-12-26 12:15:00.000 +0100,168.46001,168.52,168.46001,168.53999,168.37,-0.03559814858770419,79870.0
62,JPM,2023-12-26 12:00:00.000 +0100,168.50999,168.31,168.50999,168.5799,168.31,0.11882241102726247,140092.0
63,JPM,2023-12-26 11:45:00.000 +0100,168.315,168.17999,168.315,168.46001,168.14999,0.08027708884986501,155669.0
64,JPM,2023-12-26 11:30:00.000 +0100,168.14999,168.1427,168.14999,168.33,168.11,0.004335603032431255,597566.0
65,JPM,2023-12-26 11:15:00.000 +0100,168.14999,168.155,168.14999,168.2211,168.09,-0.002979394011476689,92007.0
66,JPM,2023-12-26 11:00:00.000 +0100,168.14999,167.88,168.14999,168.21001,167.82001,0.16082320705266087,166981.0
67,JPM,2023-12-26 10:45:00.000 +0100,167.89,167.72,167.89,167.9799,167.53999,0.10135940853803213,153947.0
68,JPM,2023-12-26 10:30:00.000 +0100,167.73,167.46001,167.73,167.94,167.17999,0.16122655193916363,216016.0
69,JPM,2023-12-22 16:45:00.000 +0100,167.39999,167.56,167.39999,167.60001,167.32001,-0.09549415134877044,626593.0
70,JPM,2023-12-22 16:30:00.000 +0100,167.55009,167.64,167.55009,167.67999,167.44,-0.05363278453828135,174519.0
71,JPM,2023-12-22 16:15:00.000 +0100,167.64,167.57001,167.64,167.66,167.45,0.04176761700974417,177656.0
72,JPM,2023-12-22 16:00:00.000 +0100,167.57899,167.66,167.57899,167.72,167.505,-0.04831802457353694,118062.0
73,JPM,2023-12-22 15:45:00.000 +0100,167.64349,167.63,167.64349,167.77679,167.58,0.00804748553362683,133394.0
74,JPM,2023-12-22 15:30:00.000 +0100,167.62,167.32001,167.62,167.67,167.23,0.17929116786450597,188183.0
